# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "The first boomerang" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 287-314.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_62 and 63, line_71 and 72, line_141 and 142, line_166 and 167, line_271 and 272, line_278 and 279, line_302 and 303, line_318 and 319, line_323 and 324, line_340 and 341).

<line_1>	Ngayu marraringaraa wantharninyji , maral.yalaa jinangkaa
<glossing>	like.that-NOW-YK this.NOM grab-HABIT still that.OBL-PL-ACC
<translation>	That's how it was . These people used to pick them up and

<line_292>	thawuru yilhii warntitharnungaraa . Kuwarrikuwarrirru ,<segmentation>	thawu-ru yilhi-i warntitha-rnu-ngara-a . Kuwarri-kuwarri-rru ,
<glossing>	send-PURPss chip-ACC throw-PASSP-PL-ACC now-now-NOW
<translation>	send back the chips that had been thrown their way . And not long ago now ,

<line_293>	kanyararrunhiyu panyurru nyinarra . Ngunhaa wantinguru
<segmentation>	kanyara-rrunhiyu panyu-rru nyina-rra . Ngunhaa wanti-nguru
<glossing>	man-NOW this.NOM good-NOW sit-CTEMP that.NOM lie-PRES
<translation>	they were still doing that , things were okay .

<line_294>	waruul kuwarri wii yimpala . Ngunhaa ngunhaa marrari .
<segmentation>	waruul kuwarri wii yimpala . Ngunhaa ngunhaa marrari .
<glossing>	still now maybe like.that that.NOM that.NOM story
<translation>	It's still like that now . That's that story .

<line_295>	Jinanu ngurnaa pal.yarramalalha yangal.yarra<segmentation>	Jina-nu ngurnaa pal.yarra-ma-lalha yanga-l.yarra
<glossing>	foot-QUOT that.ACC plain-CAUS-PAST chase-CTEMP
<translation>	So apparently it was their feet that made a plain of it as they were chasing

<line_296>	ngurnulwa kayarraawirratharraa .
<segmentation>	ngurnu-lwa kayarra-awirra-tharra-a .
<glossing>	that.ACC-ID two-ACC boomerang-DU-ACC
<translation>	after those two boomerangs .

<line_297>	Ngurnulalwa , warruwangara , yangalalha , yimpalarru nhiyu
<segmentation>	Ngurnula-lwa , warruwa-ngara , yanga-lalha , yimpala-rru nhiyu
<glossing>	that.DEF-ID devil-PL chase-PAST like.that-NOW this.NOM
<translation>	It was those devils who chased it . And so this plain is like that ,

<line_298>	pal.yarrarru wantiwala , kalyaranwirriwarru , Wirrawantirru wangkangulayi .<segmentation>	pal.yarra-rru wanti-wala , kalyaran-wirriwa-rru , Wirrawanti-rru wangka-ngu-layi .
<glossing>	plain-NOW lie-PURPds tree-PRIV-NOW Wirrawanti-NOW call-PASS-FUT
<translation>	hasn't got any trees , and is called Wirrawanti .

<line_299>	Wirraa yangalalhala , warruwangara . Panyilalha nhartungaraa
<segmentation>	Wirra-a yanga-lalha-la , warruwa-ngara . Panyi-lalha nhartu-ngara-a
<glossing>	boomerang-ACC chase-PAST-LOC devil-PL tread-PAST what-PL-ACC
<translation>	While they were chasing the boomerang , these devils , they trampled over everything ,

<line_300>	kalyaranngaraa , mirntiwulyu , piyuwamal.yarra . Jinawuranu<segmentation>	kalyaran-ngara-a , mirntiwul-yu , piyuwa-ma-l.yarra . Jina-wura-nu
<glossing>	tree-PL-ACC together-ACC finish-CAUS-CTEMP foot-BELONG-QUOT
<translation>	all the trees , and finished them all up . It's said it was from their feet

<line_301>	ngunhaa pal.yarra wantinguru , Wirrawantirru wangkangurra .
<segmentation>	ngunhaa pal.yarra wanti-nguru , Wirrawanti-rru wangka-ngu-rra .
<glossing>	that.NOM plain lie-PRES Wirrawanti-NOW call-PASS-CTEMP
<translation>	that that plain came to be and its now called Wirrawanti .

<line_302>	Kawuyulanguru nyinalhala patharryarra ngurnutharraalwa kayarraa . Kuwarril paju wirratharra ,<segmentation>	Kawuyu-la-nguru nyina-lha-la patha-rryarra ngurnu-tharra-a-lwa kayarra-a . Kuwarri-l paju wirra-tharra ,
<glossing>	Kawuyu-LOC-PRES be-PAST-LOC throw-CTEMP that.OBL-DU-ACC-ID two-ACC now-THEN REAL boomerang-DU
<translation>	That was the time those two boomerangs were thrown from Kawuyu hill , the very first boomerangs ,

<line_304>	yinkarnu ngulu kanyaralu . Wuraalwarru ngunhaa .
<segmentation>	yinka-rnu ngulu kanyara-lu . Wuraal-wa-rru ngunhaa .
<glossing>	chisel-PASSP that.EFF man-EFF still-Ø-NOW that.NOM
<translation>	made by that man . That's how it was .

<line_305>	Yilhi karaluwarntitharnu , thawumarriyangu , karalunyungungara
<segmentation>	Yilhi karaluwarntitha-rnu , thawu-marri-yangu , karalu-nyungu-ngara
<glossing>	chip south throw-PASSP send-COLL-PASSP south-DWELL-PL
<translation>	The chips were thrown south and were sent back again .

<line_306>	jurlu mirntiwul , yinkalwayara thawurninyji , ngurnul .<segmentation>	jurlu mirntiwul , yinka-lwayara thawu-rninyji , ngurnu-l .
<glossing>	all together chisel-HABIT send-FUT that.ACC-THEN
<translation>	All the southern people used to carve them and send them then ,

<line_307>	Parilha , ngunhungara mankuwayara . Jalyangaraarru ngurnu
<segmentation>	Parilha , ngunhu-ngara manku-wayara . Jalya-ngara-a-rru ngurnu
<glossing>	still that.NOM-PL grab-HABIT rubbish-PL-ACC-NOW that.ACC
<translation>	they still used to get them . The trees here are good for nothing .

<line_308>	kalyarankurru murtil . Jalyangaral karlwalalha yilangu
<segmentation>	kalyaran-ku-rru murtil . Jalya-ngara-l karlwa-lalha yilangu
<glossing>	tree-ACC-NOW bad rubbish-PL-THEN grow.up-PAST here
<translation>	They grow up to be rubbishy since

<line_309>	yilhii warntitharralhapuyilalpurtul .
<segmentation>	yilhi-i warntitha-rralhapuyila-lpurtu-l .
<glossing>	chip-ACC throw-PAST far-COMP-THEN
<translation>	all the chips were thrown a long way away .

<line_310>	Ngawayinpalha ngunhaa , warruwa thaapuwa , kuyilwalalharru .
<segmentation>	Ngawayi-npa-lha ngunhaa , warruwa thaapuwa , kuyilwa-lalha-rru .
<glossing>	thing-INCH-PAST that.NOM devil big.man spoil-PAST-NOW
<translation>	That's just what he did , that devil . He ruined everything .

<line_311>	Nhiyu kanyara , kanangkalwanmarni , panyu . Ngunhaa yilhi wantimarni
<segmentation>	Nhiyu kanyara , kanangkalwa-nmarni , panyu . Ngunhaa yilhi wanti-marni
<glossing>	this.NOM man make.clear-MODAL good that.NOM chip lie-MODAL
<translation>	This man should have shown them to him , should have done the right thing . The chips could have been

<line_312>	yilangurru . Ngunha kuyilwalalha thaapuwa ngawayinparra .
<segmentation>	yilangu-rru . Ngunha kuyilwa-lalha thaapuwa ngawayi-npa-rra .
<glossing>	here-NOW that.NOM spoil-PAST big.man thing-INCH-CTEMP
<translation>	here in this country now . But he spoiled it by doing that thing

<line_313>	Yimpalarruwa wantiwaa , jalyangararru kalyaran yilangu .
<segmentation>	Yimpala-rru-wa wanti-waa , jalya-ngara-rru kalyaran yilangu .
<glossing>	like.that-NOW-YK lie-PURPs=o rubbish-PL-NOW tree here
<translation>	so that the wood here is useless .

<line_314>	Ngurraa ngunhaa kuyilwalalha , ngayalyu yirru .<segmentation>	Ngurra-a ngunhaa kuyilwa-lalha , ngayalyu yirru .
<glossing>	country-ACC that.NOM spoil-PAST cousin HES
<translation>	That devil ruined the country .

<line_315>	Ngurnulanguru , ngunhungara nyinalha mir.tarru panyu ,<segmentation>	Ngurnula-nguru , ngunhu-ngara nyina-lha mir.ta-rru panyu ,
<glossing>	that.DEF-PRES that.NOM-PL be-PAST not-NOW good
<translation>	From that time on they weren't very good friends ,

<line_316>	ngurnu kuyilwalalhaa yilhii . Mir.tarru nyinalha panyu .
<segmentation>	ngurnu kuyilwa-lalha-a yilhi-i . Mir.ta-rru nyina-lha panyu .
<glossing>	that.ACC spoil-PAST-ACC chip-ACC not-NOW be-PAST good
<translation>	this man and the one who threw the chips .

<line_317>	Ngunhungara nhuuranpalharru , ngunhu yinkarnunguru .
<segmentation>	Ngunhu-ngara nhuura-npa-lha-rru , ngunhu yinka-rnu-nguru .
<glossing>	that.NOM-PL know-INCH-PAST-NOW that.NOM chisel-PASSP-PRES
<translation>	He woke up to what was going on , this man who carved them .

<line_318>	Ngunhaa nhuuranpalharru , wantharnimalalhaa ngurnu , ngayalyuu .
<segmentation>	Ngunhaa nhuura-npa-lha-rru , wantharni-ma-lalha-a ngurnu , ngayalyu-u .
<glossing>	that.NOM know-INCH-PAST-NOW how-CAUS-PAST-ACC that.ACC cousin-ACC
<translation>	He worked out what this devil had done .

<line_320>	“ Ah ! Yimpalamalalha kartu . piyuwamalalha . ”<segmentation>	“ Ah ! Yimpala-ma-lalha kartu . piyuwa-ma-lalha . ”
<glossing>	ah like.that-CAUS-PAST 2SG.NOM finish-CAUS-PAST
<translation>	“ Ah ! You've made it like that . Finished everything . ”

<line_321>	Ngurnunguruwa , nyinamarrilha mir.tarru panyu , kuyilwarru .<segmentation>	Ngurnu-nguru-wa , nyina-marri-lha mir.ta-rru panyu , kuyil-wa-rru .
<glossing>	that.OBL-ABL-YK be-COLL-PAST not-NOW good bad-YK-NOW
<translation>	From there they weren't very good with one another .

<line_322>	Wiru nhurntimarninyji yirnangaraa ngayalyungaraa
<segmentation>	Wiru nhurnti-ma-rninyji yirna-ngara-a ngayalyu-ngara-a
<glossing>	wanting dead-CAUS-FUT this.OBL-PL-ACC cousin-PL-ACC
<translation>	They wanted to kill these ngayalyu

<line_323>	warruwangaraa , nhiingara panyungara wirraa , wirraa nhawanimalalhangara . Kuyilwarru nyinalha .
<segmentation>	warruwa-ngara-a , nhiingara panyu-ngara wirra-a , wirra-a nhawani-ma-lalha-ngara . Kuyil-wa-rru nyina-lha .
<glossing>	devil-PL-ACC this.PL good-PL boomerang-ACC boomerang-ACC thing-CAUS-PAST-PL bad-Ø-NOW sit-PAST
<translation>	devils , these fellas , the ones who had made the two good boomerangs . They were upset .

<line_325>	Wuraalwarru ngunhaa nyinalayi pularna mir.tarru panyu .<segmentation>	Wuraal-wa-rru ngunhaa nyina-layi pularna mir.ta-rru panyu .
<glossing>	well-YK-NOW that.NOM sit-FUT they not-NOW good
<translation>	All right , they weren't very happy . They were very unhappy .

<line_326>	Kuyilwarru . Patharrirrarru , kuwarril kuwarril patharrirra ,
<segmentation>	Kuyil-wa-rru . Patharri-rra-rru , kuwarri-l kuwarri-l patharri-rra ,
<glossing>	bad-YK-NOW fight-CTEMP-NOW now-THEN now-THEN fight-CTEMP
<translation>	And so they fought . Again and again they fought ,

<line_327>	ngunhutharra . Ngunhutharrapaju ngunhu ,<segmentation>	ngunhu-tharra . Ngunhu-tharrapaju ngunhu ,
<glossing>	that.NOM-DU that.NOM-DU REAL that.NOM
<translation>	those two fellows , the one who

<line_328>	wirrawayangunhaa yinkalalhanguru ,
<segmentation>	wirra-wayangunhaa yinka-lalha-nguru ,
<glossing>	boomerang-OWN that.NOM chisel-PAST-PRES
<translation>	had carved the boomerang

<line_329>	ngunhu , ngunhu ngurnungaraalwa yilhii warntitharralha .
<segmentation>	ngunhu , ngunhu ngurnu-ngara-a-lwa yilhi-i warntitha-rralha .
<glossing>	that.NOM that.NOM that.OBL-PL-ACC-ID chip-ACC throw-PAST
<translation>	and the one who threw away the chips .

<line_330>	Yilarlalwa wanthala Martuthunila , ngunhutharra thartuungkumarrilha .<segmentation>	Yilarla-lwa wanthala Martuthuni-la , ngunhu-tharra thartuungku-marri-lha .
<glossing>	here.NS-ID somewhere Fortescue-LOC that.NOM-DU meet-COLL-PAST
<translation>	It was somewhere here on the Fortescue that they met up together .

<line_331>	Kurryartamartanu punirra thaapuwa , mirrungkamarta .
<segmentation>	Kurryarta-marta-nu puni-rra thaapuwa , mirru-ngka-marta .
<glossing>	spear-PROP-QUOT go-CTEMP big.man spearthrower-LOC-PROP
<translation>	They say one went with a spear , loaded on a spearthrower ,

<line_332>	Yarta wurntathurtimarta . Nhiyu kanyara yimpalanpanguru .
<segmentation>	Yarta wurnta-thurti-marta . Nhiyu kanyara yimpala-npa-nguru .
<glossing>	other shield-CONJ-PROP this.NOM man like.that-INCH-PRES
<translation>	the other one had a shield and everything .

<line_333>	Purrkurulwa thartuungkumarrilayi . Yilarlalwa , wanthala ngula ,<segmentation>	Purrkuru-lwa thartuungku-marri-layi . Yilarla-lwa , wanthala ngula ,
<glossing>	truly-ID meet-COLL-FUT here.NS-ID somewhere IGNOR
<translation>	All right , they met up together , somewhere here , I don't know exactly where myself ,

<line_334>	ngularlalwa Martuthunila .
<segmentation>	ngularla-lwa Martuthuni-la .
<glossing>	there.NS-ID Fortescue-LOC
<translation>	somewhere there on the Fortescue River .

<line_335>	“ Ngayalyu yirru , nhulaa yirru kartu yirru nhawu
<segmentation>	“ Ngayalyu yirru , nhulaa yirru kartu yirru nhawu-Ø
<glossing>	cousin HES near.you HES 2SG.NOM HES watch-IMP
<translation>	“ Cousin , you watch that !

<line_336>	nhiyulwa yirru , ngayalyu yirru , ngayalyu yirru . ”
<segmentation>	nhiyu-lwa yirru , ngayalyu yirru , ngayalyu yirru . ”
<glossing>	this.NOM-ID HES cousin HES cousin HES
<translation>	This one , cousin ! ”

<line_337>	“ Ah ! Ngayalyu yirru , ngali yirru patharrilayi yirru . ”<segmentation>	“ Ah ! Ngayalyu yirru , ngali yirru patharri-layi yirru . ”
<glossing>	ah cousin HES 1DU.INC HES fight-FUT HES
<translation>	“ Ah cousin , we'll fight ! ”

<line_338>	Thaapuwatharra nhuwayarrilharru .
<segmentation>	Thaapuwa-tharra nhuwa-yarri-lha-rru .
<glossing>	big.man-DU spear-COLL-PAST-NOW
<translation>	The two of them threw spears at one another .

<line_339>	Ngunhaa warrayi kanyarawuyu mirrunyjangulu .
<segmentation>	Ngunhaa warra-yi kanyara-wuyu mirrunyjangu-lu .
<glossing>	that.NOM CONT-? human-SIDE load.spear-PURPss
<translation>	The human one loaded up his spearthrower .

<line_340>	“ Yilarla kartungku thanil.yu ! Kanyara mankuwala ngularla puni nhuwalawauï ”
<segmentation>	“ Yilarla kartungku thani-l.yu ! Kanyara manku-wala ngularla puni-Ø nhuwala-wauï ”
<glossing>	here.NS 2SG.EFF hit-IMP man grab-PURPds there.NS go-IMP 2DU-YK
<translation>	“ Take this ! See if you can hit this away from you ! ”	

<line_342>	Ngawayu ngartirru wurtu thaapuwa ngurnaa yurtingkarninyji
<segmentation>	Ngawayu ngarti-rru wurtu thaapuwa ngurnaa yurtingka-rninyji
<glossing>	turn again-NOW HYPTH big.man that.ACC aim-FUT
<translation>	Taking his turn that man drilled a spear towards

<line_343>	ngurnu ngayalyungu .
<segmentation>	ngurnu ngayalyu-ngu .
<glossing>	that.ACC cousin-ACC
<translation>	that devil .

<line_344>	“ Yimpalaa pala yirru , ngayalyu yirru , kartu yirruï<segmentation>	“ Yimpalaa pala yirru , ngayalyu yirru , kartu yirruï
<glossing>	like.that IT HES cousin HES 2SG.NOM HES
<translation>	“ What's that like , cousin ! See if you

<line_345>	Yilarla thanil.yu kartungkuï ”
<segmentation>	Yilarla thani-l.yu kartungkuï ”
<glossing>	here.NS hit-IMP 2SG.EFF
<translation>	can hit that away ! ”

<line_346>	Ngunhaanu ngulanguru piyuwanpanguru . Ngurrarru wantinguru .<segmentation>	Ngunhaa-nu ngula-nguru piyuwa-npa-nguru . Ngurra-rru wanti-nguru .
<glossing>	that.NOM-QUOTthere-ABL finish-INCH-PRES ground-NOW lie-PRES
<translation>	But apparently he was gone from there . Only the ground was hit .

<line_347>	Kuyil parru , kuyil , warruwa . Ngurra yirla wantinguru ngulangu .
<segmentation>	Kuyil parru , kuyil , warruwa . Ngurra yirla wanti-nguru ngulangu .
<glossing>	bad devil bad devil ground only lie-PRES there
<translation>	He was really bad that devil . Only the ground was lying there

<line_348>	Yilarlarru karlwanyila . Nhawulayi ngurnu warrirtii kanyaralu
<segmentation>	Yilarla-rru karlwa-nyila . Nhawu-layi ngurnu warrirti-i kanyara-lu
<glossing>	here.NS-NOW go.up-PrREL see-FUT that.ACC spear-ACC man-EFF
<translation>	and he came up here alongside and watched that spear sent by that man

<line_349>	thawurnuu ngulangumulyarra , puninyilaa ngarrawurlu .
<segmentation>	thawu-rnu-u ngulangu-mulyarra , puni-nyila-a ngarrawurlu .
<glossing>	send-PASSP-ACC there-ALL go-PrREL-ACC away
<translation>	heading straight for the place he had been standing .

<line_350>	“ Paa ! Wirrili yirru kartungu yirru , ngayalyu yirru , kuyil paju yirru ! ”<segmentation>	“ Paa ! Wirrili yirru kartungu yirru , ngayalyu yirru , kuyil paju yirru ! ”
<glossing>	paa swift HES 2SG.GEN HES cousin HES bad REAL HES
<translation>	“ Paa ! Too fast , that one of yours , cousin ! Really dangerous ! ”

<line_351>	Piyuwanpalayi ngunha ngulanguru piyuwa yilarru karlwalu .<segmentation>	Piyuwa-npa-layi ngunha ngula-nguru piyuwa yila-rru karlwa-lu .
<glossing>	finish-INCH-FUT that.NOM there-PRES finish here(pointing)-NOW go.up-EFF
<translation>	There was nothing there . He was gone from there and came up here .

<line_352>	Ngurraa yirla nhuwalalha . Jampanu , jampanu
<segmentation>	Ngurra-a yirla nhuwa-lalha . Jampa-nu , jampa-nu
<glossing>	ground-ACC only spear-PAST moment-QUOT moment-QUOT
<translation>	Only the ground got speared he was so quick . In an instant

<line_353>	ngunhaa piyuwanpalayi yilangurru ngunhurru karringuru
<segmentation>	ngunhaa piyuwa-npa-layi yilangu-rru ngunhu-rru karri-nguru
<glossing>	that.NOM finish-INCH-FUT here-NOW that.NOM-NOW stand-PRES
<translation>	he was gone , they say , and here he was .

<line_354>	kanarrilayi yurtingkal.yarra , kurryartaa , ngurnulanguu . Nhuwarninyji<segmentation>	kanarri-layi yurtingka-l.yarra , kurryarta-a , ngurnula-ngu-u . Nhuwa-rninyji
<glossing>	come-FUT aim-CTEMP spear-ACC that.DEF-GEN-ACC spear-FUT
<translation>	He just came as that man was sending the spear

<line_355>	kanyaraa karrinyilaa . Ngunhaa mankuwala ngurnaa .
<segmentation>	kanyara-a karri-nyila-a . Ngunhaa manku-wala ngurnaa .
<glossing>	man-ACC stand-PrREL-ACC that.NOM grab-PURPds that.ACC
<translation>	to where he was standing , so he could grab it .

<line_356>	Ngunhaa ngawayu yurtingkarninyji ngurnu nhuwarninyji ,
<segmentation>	Ngunhaa ngawayu yurtingka-rninyji ngurnu nhuwa-rninyji ,
<glossing>	that.NOM turn aim-FUT that.ACC spear-FUT
<translation>	Again he threw one and it

<line_357>	ngurraa yirla . Ngurrarru wantinguru , kurryarta puninguru .
<segmentation>	ngurra-a yirla . Ngurra-rru wanti-nguru , kurryarta puni-nguru .
<glossing>	ground-ACC only ground-NOW lie-PRES spear go-PRES
<translation>	only hit the ground . Only the ground is lying there and the spear is gone .

<line_358>	Mir.ta ngana karrinyila ngula , nhiyurru karrinyila karlwalha .
<segmentation>	Mir.ta ngana karri-nyila ngula , nhiyu-rru karri-nyila karlwa-lha .
<glossing>	not who stand-PrREL IGNOR this.NOM-NOW stand-PrREL go.up-PAST
<translation>	Who is standing there ? He's just coming up here .

<line_359>	“ Ngayalyu yirru , nhartu paju yirru ? ”<segmentation>	“ Ngayalyu yirru , nhartu paju yirru ? ”
<glossing>	cousin HES what REAL HES
<translation>	“ Hey cousin , what was that ? ”

<line_360>	Kuyil pajunu ngunhaa , warruwa parru . Kuyil . Kuyil . Ngurra yirla
<segmentation>	Kuyil paju-nu ngunhaa , warruwa parru . Kuyil . Kuyil . Ngurra yirla
<glossing>	bad REAL-QUOT that.NOM devil devil bad bad ground only
<translation>	He was really bad , that devil . Really bad . Only the ground

<line_361>	nhuwanngurra . Kanyaralwa , ngayalyu jirlii parlwiyarninyji .
<segmentation>	nhuwa-nngu-rra . Kanyara-lwa , ngayalyu jirli-i parlwiya-rninyji .
<glossing>	spear-PASS-CTEMP man-ID devil arm-ACC hold-FUT
<translation>	got speared and this man is holding himself in the arm .

<line_362>	“ Nganangunu ngayu nhuwarnuruwa ? ”<segmentation>	“ Nganangu-nu ngayu nhuwa-rnuru-wa ? ”
<glossing>	who.ACC-QUOT 1SG.NOM spear-PRES-YK
<translation>	“ Just who am I going to spear ? ”

<line_363>	Ngawayu yirla nhuwanngulayi mankulayi . Thanirninyji ngunhaa<segmentation>	Ngawayu yirla nhuwa-nngu-layi manku-layi . Thani-rninyji ngunhaa
<glossing>	turn only spear-PASS-FUT grab-FUT hit-FUT that.NOM
<translation>	He tries again . He hits at him with a

<line_364>	wakupurramarta . Ngayalyu ngunha karlwalha yilangu
<segmentation>	wakupurra-marta . Ngayalyu ngunha karlwa-lha yilangu
<glossing>	hitting.stick-PROP cousin that.NOM come.up-PAST here
<translation>	club . That devil comes up here again and

<line_365>	thaninngurra wakupurralu ngurra yirla . Ngunhurru karringuru ,
<segmentation>	thani-nngu-rra wakupurra-lu ngurra yirla . Ngunhu-rru karri-nguru ,
<glossing>	hit-PASS-CTEMP hitting.stick-EFF ground only that.NOM-NOW stand-PRES
<translation>	only the ground is hit by that club . He's standing here now ,

<line_366>	kuyil , kuyil . Piyuwa waruu . Mir.ta waruu ngunhaa pithirrimalalha ,
<segmentation>	kuyil , kuyil . Piyuwa waruu . Mir.ta waruu ngunhaa pithirri-ma-lalha ,
<glossing>	bad bad finish still not still that.NOM unwell-CAUS-PAST
<translation>	the bad thing . He couldn't hurt him , not at all , so he gave up and went away .

<line_367>	punirrawaara wuraal . Ngartil , waruulwalwarriwayara yimpala ,
<segmentation>	puni-rrawaara wuraal . Ngartil , waruulwa-lwarri-wayara yimpala ,
<glossing>	go-SEQ still again unable-COLL-HABIT like.that
<translation>	Now and again they would keep going at it like that .

<line_368>	nhuwayarriwayara ngunhutharra wanthala wii thartuungkumarrilha .<segmentation>	nhuwa-yarri-wayara ngunhu-tharra wanthala wii thartuungku-marri-lha .
<glossing>	spear-COLL-HABIT that.NOM-DU where maybe meet-COLL-PAST
<translation>	The two of them would try to spear one another if ever they met up together somewhere ,

<line_369>	Piyuwa paju , piyuwa paju . Mir.ta ngungkumarninyji ngurnaa .
<segmentation>	Piyuwa paju , piyuwa paju . Mir.ta ngungku-ma-rninyji ngurnaa .
<glossing>	finish REAL finish REAL not heavy-CAUS-FUT that.ACC
<translation>	but to no avail . He couldn't hurt him .

<line_370>	Wuraal ngunhaa , wuraal ngunhaa , nyinalayi yimpala ngartil .<segmentation>	Wuraal ngunhaa , wuraal ngunhaa , nyina-layi yimpala ngartil .
<glossing>	still that.NOM still that.NOM sit-FUT like.that again
<translation>	It was still like that , it stayed like that .

<line_371>	Ngartil ngunhungara wangkarnumarrilharru , nhiingara panyungarawuyu ,<segmentation>	Ngartil ngunhu-ngara wangkarnu-marri-lha-rru , nhiingara panyu-ngara-wuyu ,
<glossing>	again that.NOM-PL talk-COLL-PAST-NOW these.NOM good-PL-SIDE
<translation>	Once again they talked together , these good fellows ,

<line_372>	nhiyu wirraa yinkalalha .
<segmentation>	nhiyu wirra-a yinka-lalha .
<glossing>	this.NOM boomerang-ACC chisel-PAST
<translation>	the ones who made the boomerangs .

<line_373>	“ Ngaliwa nhurntimarninyji . Yirnangaraa warruwangaraa , ngayalyuu ,<segmentation>	“ Ngaliwa nhurnti-ma-rninyji . Yirna-ngara-a warruwa-ngara-a , ngayalyu-u ,
<glossing>	1PL.INC dead-CAUS-FUT this.OBL-PL-ACC devil-PL-ACC cousin-ACC
<translation>	“ We'll kill these devils , these cousins ,

<line_374>	ngayalyuyirrumarnuu , ngaliwa nhurntimarninyji . ”
<segmentation>	ngayalyu-yirru-marnu-u , ngaliwa nhurnti-ma-rninyji . ”
<glossing>	cousin-yirru-GROUP-ACC 1PL.INC dead-CAUS-FUT
<translation>	the whole lot of them . We'll kill them in the end . ”

<line_375>	Mawurru ngunhaa , jampa kunti ngurnunguruwa ,
<segmentation>	Mawurru ngunhaa , jampa kunti ngurnu-nguru-wa ,
<glossing>	later that.NOM moment stop that.OBL-ABL-YK
<translation>	Later then , they went from there ,

<line_376>	ngunhungara punimarrilha ...
<segmentation>	ngunhu-ngara puni-marri-lha ...
<glossing>	that.NOM-PL go-COLL-PAST
<translation>	very soon afterwards ...
